nm, %R
666.000000, 2.221920
665.000000, 2.225512
664.000000, 2.217686
663.000000, 2.207591
662.000000, 2.217344
661.000000, 2.226238
660.000000, 2.229188
659.000000, 2.228449
658.000000, 2.218602
657.000000, 2.226023
656.000000, 2.234743
655.000000, 2.232069
654.000000, 2.240538
653.000000, 2.237468
652.000000, 2.238849
651.000000, 2.238275
650.000000, 2.242262
649.000000, 2.241054
648.000000, 2.243464
647.000000, 2.245164
646.000000, 2.251463
645.000000, 2.247221
644.000000, 2.258184
643.000000, 2.263794
642.000000, 2.264076
641.000000, 2.258228
640.000000, 2.261165
639.000000, 2.271285
638.000000, 2.276607
637.000000, 2.275689
636.000000, 2.273833
635.000000, 2.283691
634.000000, 2.274059
633.000000, 2.268994
632.000000, 2.275858
631.000000, 2.277434
630.000000, 2.288372
629.000000, 2.293760
628.000000, 2.284637
627.000000, 2.289783
626.000000, 2.294569
625.000000, 2.295544
624.000000, 2.295727
623.000000, 2.295837
622.000000, 2.296931
621.000000, 2.308539
620.000000, 2.312982
619.000000, 2.314415
618.000000, 2.317850
617.000000, 2.318765
616.000000, 2.319202
615.000000, 2.327054
614.000000, 2.325039
613.000000, 2.333977
612.000000, 2.320397
611.000000, 2.321670
610.000000, 2.333161
609.000000, 2.335932
608.000000, 2.339374
607.000000, 2.335948
606.000000, 2.351898
605.000000, 2.357129
604.000000, 2.348224
603.000000, 2.346480
602.000000, 2.358022
601.000000, 2.355420
600.000000, 2.352688
599.000000, 2.366918
598.000000, 2.367747
597.000000, 2.371228
596.000000, 2.368844
595.000000, 2.372139
594.000000, 2.374636
593.000000, 2.368209
592.000000, 2.382837
591.000000, 2.382665
590.000000, 2.386507
589.000000, 2.384692
588.000000, 2.400099
587.000000, 2.395117
586.000000, 2.397808
585.000000, 2.397350
584.000000, 2.406676
583.000000, 2.404518
582.000000, 2.415743
581.000000, 2.410854
580.000000, 2.419652
579.000000, 2.415346
578.000000, 2.418732
577.000000, 2.421861
576.000000, 2.427242
575.000000, 2.425855
574.000000, 2.433585
573.000000, 2.439866
572.000000, 2.434824
571.000000, 2.442613
570.000000, 2.438084
569.000000, 2.456293
568.000000, 2.443412
567.000000, 2.446820
566.000000, 2.450991
565.000000, 2.454413
564.000000, 2.456980
563.000000, 2.467386
562.000000, 2.466965
561.000000, 2.464599
560.000000, 2.472895
559.000000, 2.469904
558.000000, 2.483346
557.000000, 2.480603
556.000000, 2.483265
555.000000, 2.488429
554.000000, 2.491766
553.000000, 2.500657
552.000000, 2.500092
551.000000, 2.507964
550.000000, 2.513298
549.000000, 2.517747
548.000000, 2.507521
547.000000, 2.510907
546.000000, 2.525553
545.000000, 2.523074
544.000000, 2.521677
543.000000, 2.527144
542.000000, 2.523864
541.000000, 2.532556
540.000000, 2.539282
539.000000, 2.545572
538.000000, 2.543097
537.000000, 2.550391
536.000000, 2.550586
535.000000, 2.556230
534.000000, 2.558518
533.000000, 2.559044
532.000000, 2.565072
531.000000, 2.566599
530.000000, 2.573839
529.000000, 2.574952
528.000000, 2.579583
527.000000, 2.579173
526.000000, 2.585502
525.000000, 2.588086
524.000000, 2.591262
523.000000, 2.591158
522.000000, 2.595621
521.000000, 2.597709
520.000000, 2.602700
519.000000, 2.606992
518.000000, 2.609341
517.000000, 2.615602
516.000000, 2.616187
515.000000, 2.621019
514.000000, 2.622131
513.000000, 2.627190
512.000000, 2.628625
511.000000, 2.635486
510.000000, 2.631178
509.000000, 2.631420
508.000000, 2.637151
507.000000, 2.640449
506.000000, 2.638942
505.000000, 2.642169
504.000000, 2.650583
503.000000, 2.650415
502.000000, 2.652663
501.000000, 2.651289
500.000000, 2.657335
499.000000, 2.662681
498.000000, 2.662763
497.000000, 2.667200
496.000000, 2.668155
495.000000, 2.675779
494.000000, 2.679814
493.000000, 2.696808
492.000000, 2.698501
491.000000, 2.693905
490.000000, 2.698372
489.000000, 2.706945
488.000000, 2.717447
487.000000, 2.726445
486.000000, 2.722698
485.000000, 2.721817
484.000000, 2.729515
483.000000, 2.739063
482.000000, 2.745326
481.000000, 2.750423
480.000000, 2.753599
479.000000, 2.752317
478.000000, 2.757486
477.000000, 2.760756
476.000000, 2.766049
475.000000, 2.774147
474.000000, 2.779833
473.000000, 2.781682
472.000000, 2.784529
471.000000, 2.789511
470.000000, 2.793275
469.000000, 2.796625
468.000000, 2.802869
467.000000, 2.806418
466.000000, 2.815371
465.000000, 2.818956
464.000000, 2.819649
463.000000, 2.826354
462.000000, 2.836835
461.000000, 2.839922
460.000000, 2.839155
459.000000, 2.849246
458.000000, 2.857016
457.000000, 2.860013
456.000000, 2.866429
455.000000, 2.873894
454.000000, 2.877362
453.000000, 2.883018
452.000000, 2.887747
451.000000, 2.894218
450.000000, 2.905089
449.000000, 2.916487
448.000000, 2.927874
447.000000, 2.930726
446.000000, 2.929577
445.000000, 2.945086
444.000000, 2.955115
443.000000, 2.967273
442.000000, 2.972642
441.000000, 2.975768
440.000000, 2.984522
439.000000, 2.994118
438.000000, 2.997490
437.000000, 3.001612
436.000000, 3.016901
435.000000, 3.035125
434.000000, 3.048837
433.000000, 3.054295
432.000000, 3.056943
431.000000, 3.066405
430.000000, 3.085937
429.000000, 3.097160
428.000000, 3.106887
427.000000, 3.125186
426.000000, 3.134058
425.000000, 3.134118
424.000000, 3.143691
423.000000, 3.160148
422.000000, 3.180019
421.000000, 3.205355
420.000000, 3.213023
419.000000, 3.227713
418.000000, 3.251210
417.000000, 3.262116
416.000000, 3.271172
415.000000, 3.291300
414.000000, 3.315752
413.000000, 3.334793
412.000000, 3.350226
411.000000, 3.362950
410.000000, 3.385351
409.000000, 3.412065
408.000000, 3.433940
407.000000, 3.446564
406.000000, 3.474738
405.000000, 3.498224
404.000000, 3.520677
403.000000, 3.553431
402.000000, 3.592357
401.000000, 3.610817
400.000000, 3.629433
399.000000, 3.654194
398.000000, 3.700090
397.000000, 3.734350
396.000000, 3.766536
395.000000, 3.801278
394.000000, 3.847312
393.000000, 3.883615
392.000000, 3.932656
391.000000, 3.979654
390.000000, 4.021126
389.000000, 4.071235
388.000000, 4.125211
387.000000, 4.181343
386.000000, 4.236939
385.000000, 4.300336
384.000000, 4.359040
383.000000, 4.421462
382.000000, 4.507305
381.000000, 4.597732
380.000000, 4.658267
379.000000, 4.747199
378.000000, 4.842054
377.000000, 4.934160
376.000000, 5.037021
375.000000, 5.140675
374.000000, 5.228161
373.000000, 5.316852
372.000000, 5.413323
371.000000, 5.484521
370.000000, 5.542077
369.000000, 5.597713
368.000000, 5.644025
367.000000, 5.740216
366.000000, 5.752371
365.000000, 5.766376
364.000000, 5.796352
363.000000, 5.797758
362.000000, 5.770316
361.000000, 5.731291
360.000000, 5.682625
359.000000, 5.639547
358.000000, 5.628495
357.000000, 5.607280
356.000000, 5.558706
355.000000, 5.532062
354.000000, 5.524998
353.000000, 5.496368
352.000000, 5.502140
351.000000, 5.499686
350.000000, 5.504276
349.000000, 5.504941
348.000000, 5.538005
347.000000, 5.530526
346.000000, 5.562355
345.000000, 5.592036
344.000000, 5.601600
343.000000, 5.635483
342.000000, 5.668415
341.000000, 5.680957
340.000000, 5.700109
339.000000, 5.730724
338.000000, 5.790108
337.000000, 5.823106
336.000000, 5.863197
335.000000, 5.909955
334.000000, 5.927601
333.000000, 5.970381
332.000000, 6.023476
331.000000, 6.051709
330.000000, 6.117895
329.000000, 6.132707
328.000000, 6.250905
327.000000, 6.284924
326.000000, 6.284543
325.000000, 6.348850
324.000000, 6.425132
323.000000, 6.454499
322.000000, 6.481683
321.000000, 6.574047
320.000000, 6.643349
319.000000, 6.680447
318.000000, 6.745350
317.000000, 6.842167
316.000000, 6.901300
315.000000, 6.972080
314.000000, 7.021135
313.000000, 7.159902
312.000000, 7.230377
311.000000, 7.277302
310.000000, 7.406246
309.000000, 7.488576
308.000000, 7.555823
307.000000, 7.675287
306.000000, 7.773499
305.000000, 7.953574
304.000000, 8.084873
303.000000, 8.184001
302.000000, 8.367248
301.000000, 8.546355
300.000000, 8.668535
299.000000, 8.889147
298.000000, 9.078948
297.000000, 9.305764
296.000000, 9.592730
295.000000, 9.799715
294.000000, 10.101001
293.000000, 10.375285
292.000000, 10.639750
291.000000, 10.941997
290.000000, 11.252427
289.000000, 11.509297
288.000000, 11.711365
287.000000, 11.909731
286.000000, 12.026458
285.000000, 12.204537
284.000000, 12.309820
283.000000, 12.367138
282.000000, 12.496074
281.000000, 12.552564
280.000000, 12.620219
